Sample Type,File Name,Comment,Path,Filepath,Method,Process Method,Position,Inj Vol
Process_Blank,Blank_20230807_001,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_20230807_001.raw,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A1,2
Process_Blank,Blank_20230807_002,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_20230807_002.raw,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A1,2
Process_Blank,Blank_20230807_003,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_20230807_003.raw,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A1,2
Process_Blank,Blank_20230807_004,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_20230807_004.raw,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A1,2
Solvent_Blank,Sol_blank_20230807_001,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Sol_blank_20230807_001.raw,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A6,2
Solvent_Blank,Sol_blank_20230807_002,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Sol_blank_20230807_002.raw,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A6,2
Standards_Blank,Blank_std_20230807_1_001,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_std_20230807_1_001.raw,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A2,2
Standards_Blank,Blank_std_20230807_1_002,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/Blank_std_20230807_1_002.raw,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A2,2
QC,MT_20230807_001,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_001.raw,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\03222022_MT_HILIC_neg_Aria_FS_60k_20min,,Y:A3,2
QC,MT_20230807_002,1,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/,/Users/mitchjo/Datasets/ForPCPFM/MerckLipidomics_Batch1/HILICneg_RPpos/MT_20230807_002.raw,C:\Xcalibur\methods\MT\Metabolomics-Lipidomics-Aria\20220322_MT_RPpos_Aria_FS_60Kres_20min,,G:A3,2
